


2022-06-23 17:11:02 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:02 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:04 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:04 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:04 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:06 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:07 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:07 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:09 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:09 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:09 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:11 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:11 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:11 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:13 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:13 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:13 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:15 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:15 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:15 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:18 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:18 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
2022-06-23 17:11:18 [USER] [ICE] SERIAL ttyS7 OPEN FAIL
2022-06-23 17:11:20 [USER] [BARCODE] SERIAL ttyS4 OPEN FAIL
2022-06-23 17:11:20 [USER] [ICE] SERIAL ttyS6 OPEN FAIL
