


2022-08-18 20:21:35 [CUP] ERROR : Disconnected 1
2022-08-18 20:21:35 [CUP] ERROR : Disconnected 3
2022-08-18 20:21:46 [KIOSK] Disconnected 
2022-08-18 20:21:49 [OUTLET] ERROR : Disconnected 1
2022-08-18 20:21:58 [OUTLET] ERROR : Sonar Sensor Error 1
2022-08-18 20:27:51 [OUTLET] ERROR : Disconnected 2
2022-08-18 20:28:35 [OUTLET] ERROR : Sonar Sensor Error 2
2022-08-18 20:30:10 [CUP] Dispense Cup : 0
2022-08-18 20:30:10 [UI OPERATION - CUP] 컵 배출(종이1)
2022-08-18 20:30:11 [CUP] Dispense Cup : 1
2022-08-18 20:30:11 [UI OPERATION - CUP] 컵 배출(종이2)
2022-08-18 20:30:12 [CUP] Dispense Cup : 2
2022-08-18 20:30:12 [UI OPERATION - CUP] 컵 배출(PET1)
2022-08-18 20:30:13 [CUP] Dispense Cup : 3
2022-08-18 20:30:13 [UI OPERATION - CUP] 컵 배출(PET2)
2022-08-18 20:30:46 [OUTLET] FIND HOME  : target(0) spin_door(1)
2022-08-18 20:30:46 [UI OPERATION - OUTLET] 모터 원점 문 1
2022-08-18 20:31:05 [OUTLET] FIND HOME  : target(1) spin_door(1)
2022-08-18 20:31:05 [UI OPERATION - OUTLET] 모터 원점 문 2
2022-08-18 20:31:19 [OUTLET] FIND HOME  : target(0) spin_door(0)
2022-08-18 20:31:19 [UI OPERATION - OUTLET] 모터 원점 스핀 1
2022-08-18 20:31:21 [OUTLET] FIND HOME  : target(1) spin_door(0)
2022-08-18 20:31:21 [UI OPERATION - OUTLET] 모터 원점 스핀 2
2022-08-18 20:31:31 [OUTLET] FIND HOME  : target(1) spin_door(0)
2022-08-18 20:31:31 [UI OPERATION - OUTLET] 모터 원점 스핀 2
2022-08-18 20:31:32 [OUTLET] FIND HOME  : target(0) spin_door(0)
2022-08-18 20:31:32 [UI OPERATION - OUTLET] 모터 원점 스핀 1
2022-08-18 20:31:34 [OUTLET] FIND HOME  : target(1) spin_door(0)
2022-08-18 20:31:34 [UI OPERATION - OUTLET] 모터 원점 스핀 2
2022-08-18 20:32:39 [UI OPERATION - HOT] 영점
2022-08-18 20:32:47 [UI OPERATION - SYRUP] 영점
2022-08-18 20:32:49 [UI OPERATION - ICECREAM] 영점
2022-08-18 20:32:52 [UI OPERATION - HOT] 영점
2022-08-18 20:34:03 [UI OPERATION - HOT] 영점
2022-08-18 20:35:34 [UI OPERATION - ICECREAM] 청소 시작
2022-08-18 20:35:37 [UI OPERATION - ICECREAM] 청소 종료
2022-08-18 20:35:54 [UI OPERATION - ICECREAM] 청소 시작
